class,SwissArmyKnife,FunctionalDecomposition,SpeculativeGenerality,RefusedParentBequest,MessageChains,ComplexClass,LongParameterList,Blob,SpaghettiCode,LargeClass,BaseClassKnowsDerivedClass,LazyClass,AntiSingleton,LongMethod,ManyFieldAttributesButNotComplex,TraditionBreaker,BaseClassShouldBeAbstract,ClassDataShouldBePrivate
org.apache.jasper.el.FunctionMapperImpl,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jakarta.servlet.ServletException,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
org.apache.tomcat.dbcp.dbcp2.DelegatingDatabaseMetaData,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.tribes.group.interceptors.MessageDispatchInterceptor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.jasper.JspC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.mapper.Mapper,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.valves.TestRequestFilterValve,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.coyote.Response,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.unittest.TesterHost,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.coyote.http11.upgrade.TestUpgradeInternalHandler,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
jakarta.servlet.http.Cookie,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.ha.tcp.ReplicationValve,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.core.ApplicationContextFacade,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.core.ApplicationHttpRequest,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.ha.session.SessionMessageImpl,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.el.TestMethodExpressionImpl,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.authenticator.jaspic.AuthConfigFactoryImpl,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.storeconfig.StoreAppender,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.dbcp.dbcp2.DelegatingConnection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.util.http.parser.TestAuthorizationDigest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.core.StandardWrapperValve,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.util.descriptor.web.SecurityConstraint,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.util.scan.AbstractInputStreamJar,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.core.TestAsyncContextStateChanges,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
org.apache.naming.SelectorContext,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.tribes.transport.nio.NioReceiver,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.jasper.runtime.JspWriterImpl,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.util.bcel.classfile.Constant,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.core.ContainerBase,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.util.descriptor.web.ContextService,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.util.modeler.Registry,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.valves.RemoteIpValve,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.loader.WebappClassLoaderBase,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.manager.HTMLManagerServlet,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.websocket.WsRemoteEndpointImplBase,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.jasper.runtime.BodyContentImpl,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.dbcp.dbcp2.PStmtKey,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.loader.WebappClassLoaderBase,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.dbcp.dbcp2.datasources.InstanceKeyDataSourceFactory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.util.http.Rfc6265CookieProcessor,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.valves.CrawlerSessionManagerValve,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.coyote.ajp.AbstractAjpProtocol,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
